,ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response,reviews
0,5524	1957	Graduation	Single	58138	0	0	04-09-2012	58	635	88	546	172	88	88	3	8	10	4	7	0	0	0	0	0	0	3	11	1,I love these pouches for on-the-go snacks!  I keep one in the diaper bag so I have something that's easy for my toddler to eat when we're away from home.  He eats it right from the pouch so there aren't any dirty utensils to cart home.  The fact that these are made with yogurt is a bonus.
1,2174	1954	Graduation	Single	46344	1	1	08-03-2014	38	11	1	6	2	1	6	2	1	1	2	5	0	0	0	0	0	0	3	11	0,"Popchips are a great healthy alternative for chip-eaters. This variety pack offered far more flavors then I have ever been able to find in any store so I decided to give it a shot for that reason, and also because it provides portion controlled packages.  While I did not enjoy all of the flavors I did discover the Sweet Potato flavor that I loved and wouldn't have known about otherwise. Flavor is relative to each person so I still give this variety pack 5 stars."
2,4141	1965	Graduation	Together	71613	0	0	21-08-2013	26	426	49	127	111	21	42	1	8	2	10	4	0	0	0	0	0	0	3	11	0,"My dog demolished her busy bone in under 5 minutes. I think she basically ate it, which was a huge disappointment. We were hoping for something that we could give her that she would ENJOY, but also something that would last a bit longer. In addition to being more of a treat than a chew, these things are messy. She had it all over the floor around her,and all over her paws. It makes a sticky...goop that isn't very easy to clean up. I definitely won't buy these again, it's too expensive to only last 5 minutes."
3,6182	1984	Graduation	Together	26646	1	0	10-02-2014	26	11	4	20	10	3	5	2	2	0	4	6	0	0	0	0	0	0	3	11	0,"I tried to pop them l;ike pop corn, but I think I had the heat on too high and scorched them instead,  Will try again with a slow and steady heat."
4,5324	1981	PhD	Married	58293	1	0	19-01-2014	94	173	43	118	46	27	15	5	5	3	6	5	0	0	0	0	0	0	3	11	0,"I have used these for almost 2 years on all the sizes of food cans that my cats and dog eat and haven't had any problems at all.  They are a stiffer plastic than the single size lids, but they still work well.  I have found that you do have to push down more on the smallest size cans to get the seal though. Anyway, I have a couple sets because it is so easy to have a lid that works on them all."
5,7446	1967	Master	Together	62513	0	1	09-09-2013	16	520	42	98	0	42	14	2	6	4	10	6	0	0	0	0	0	0	3	11	0,"Like others have commented, Amazon has done a really poor job with the packaging on these.  The 12-pack ships from Missouri, and I'm not sure what kind of storage facilities Amazon or UPS has, but the bars are completed melted by the time you receive them, which is very disappointing.  When Amazon used to carry the sesame-peanut-chocolate in the 8-pack, the biggest complaint was that those bars were too tough to chew.  Now they're just mushy.  Bring back the tough bars!"
6,965	1971	Graduation	Divorced	55635	0	1	13-11-2012	34	235	65	164	50	49	27	4	7	3	7	6	0	0	0	0	0	0	3	11	0,"Man, this stuff is great.  The strawberry doesn't taste like the cheap candy flavoring you're probably used to.  It's a bit difficult to individually wrap these into fun-size pieces but made an epic gift that the girlfriend still brags about since Valentine's Day"
7,6177	1985	PhD	Married	33454	1	0	08-05-2013	32	76	10	56	3	1	23	2	4	0	4	8	0	0	0	0	0	0	3	11	0,"I love these brownies. I did not order through Amazon. I bought them at Walmart, and was a bit skeptical about branching out to buy another brand of gluten free brownie mix. I don't eat gluten free out of want, but out of need. I have a severe gluten intolerance, and cannot have any amount of wheat. I haven't had wheat products in about 6 months, which will say much in relation to how one experiences gluten free food...<br /><br />I really enjoyed the brownies. I thought they were delicious. I really liked how fluffy they turned out, and soft they were. I did not find them ""grainy"" as other brands have been. I thought the brownies were chewy, fluffy like as if it was a cake. To me, it taste very good. I will definitely be buying more of the product as it tastes great and is affordable."
8,4855	1974	PhD	Together	30351	1	0	06-06-2013	19	14	0	24	3	3	2	1	3	0	2	9	0	0	0	0	0	0	3	11	1,"Everything AmeriColor that I have purchased works great! I was looking for some lighter tone colors, everything I had was pretty bright. These sheen colors are light with a pretty sheen, it's great! Thank you!"
9,5899	1950	PhD	Together	5648	1	1	13-03-2014	68	28	0	6	1	1	13	1	1	0	0	20	1	0	0	0	0	0	3	11	0,"I am from Italy and I came to the US a couple of weeks ago (I will stay here for  a year). I am really sorry but I have to say that for my taste american coffee is a kind of ""watered down"" soft drink. Thus, I brought my espresso machine with me and I am so happy that Amazon is selling this italian coffee. I really love it and I will definitely order this product again: it is italian coffee, good price and extremely fast shipping. What more could you ask for?"
