gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,dt,dvp,dvt,ebit,ebitda,ib,invt,lct,lt,ni,oancf,optdr,revt,sale,seq,tie,costat,prcc_c
001004,20210531,2020,INDL,C,D,STD,AIR,USD,937.0000,1539.7000,974.4000,1364.6000,35.3750,205.1000,0.0000,0.1000,65.5000,101.8000,46.3000,591.0000,336.8000,565.3000,35.8000,105.2000,1.6000,1651.4000,1651.4000,974.4000,,A,36.2200
001045,20211231,2021,INDL,C,D,STD,AAL,USD,17336.0000,66467.0000,-7340.0000,27969.0000,647.7280,46177.0000,0.0000,0.0000,-5514.0000,-3179.0000,-1993.0000,1795.0000,19006.0000,73807.0000,-1993.0000,704.0000,,29882.0000,29882.0000,-7340.0000,,A,17.9600
001075,20211231,2021,INDL,C,D,STD,PNW,USD,1551.1000,22003.2220,5906.2000,2347.6500,112.9270,,0.0000,379.1080,805.3100,1456.1850,618.7200,367.1670,1756.8690,15981.7620,618.7200,860.0140,,3803.8350,3803.8350,5906.2000,,A,70.5900
001078,20211231,2021,INDL,C,D,STD,ABT,USD,24239.0000,75196.0000,35802.0000,16627.0000,1764.0820,19251.0000,0.0000,3235.0000,8966.0000,12504.0000,7071.0000,5157.0000,13105.0000,39172.0000,7071.0000,10533.0000,1.5000,43075.0000,43075.0000,35802.0000,,A,140.7400
001161,20211231,2021,INDL,C,D,STD,AMD,USD,8583.0000,12419.0000,7497.0000,8209.0000,1207.0000,732.0000,0.0000,0.0000,3678.0000,3974.0000,3162.0000,1955.0000,4240.0000,4922.0000,3162.0000,3521.0000,0.0000,16434.0000,16434.0000,7497.0000,,A,143.9000
001209,20210930,2021,INDL,C,D,STD,APD,USD,8376.3000,26859.2000,13539.7000,5864.8000,221.3970,8216.8000,0.0000,1292.6000,2215.0000,3536.3000,2028.8000,453.9000,2799.1000,12771.2000,2099.1000,3341.9000,,10323.0000,10323.0000,13539.7000,,A,304.2600
001230,20211231,2021,INDL,C,D,STD,ALK,USD,3920.0000,13951.0000,3801.0000,5342.0000,125.9060,4086.0000,0.0000,0.0000,-240.0000,154.0000,478.0000,62.0000,3991.0000,10150.0000,478.0000,1030.0000,0.0000,6176.0000,6176.0000,3801.0000,,A,52.1000
001234,20211231,2021,INDL,C,D,STD,ATRI,USD,136.5710,267.2640,244.2960,82.7510,1.8010,,0.0000,13.4310,36.0420,48.9280,33.0550,50.7780,13.3460,,33.0550,38.7980,,165.0090,165.0090,244.2960,,A,704.9000
001254,20211231,2021,INDL,C,D,STD,MATX,USD,704.5000,3693.1000,1667.4000,2429.6000,41.0000,1059.7000,0.0000,45.9000,1131.2000,1259.2000,927.4000,0.0000,612.4000,2025.7000,927.4000,984.1000,,3925.3000,3925.3000,1667.4000,,A,90.0300
001257,20211231,2021,INDL,C,D,STD,ALX,USD,,1391.9650,252.5890,124.0270,5.1070,1093.2150,0.0000,92.2200,76.1970,76.1970,130.5820,0.0000,,1139.3760,132.9300,118.4650,,206.1480,206.1480,252.5890,,A,260.3000
001300,20211231,2021,INDL,C,D,STD,HON,USD,25372.0000,64470.0000,18569.0000,21798.0000,684.8000,17089.0000,0.0000,2620.0000,6769.0000,7908.0000,5542.0000,5138.0000,19508.0000,45221.0000,5542.0000,6038.0000,2.3100,34392.0000,34392.0000,18569.0000,,A,208.5100
001327,20210930,2021,INDL,C,D,STD,SWKS,USD,2865.4000,8590.7000,5297.1000,2178.3000,165.3000,2413.1000,0.0000,340.6000,1692.7000,2129.4000,1498.3000,885.0000,658.5000,3293.6000,1498.3000,1772.0000,1.3900,5109.1000,5109.1000,5297.1000,,A,155.1400
001380,20211231,2021,INDL,C,D,STD,HES,USD,4346.0000,20515.0000,6300.0000,3435.0000,309.7450,9141.0000,0.0000,310.0000,2008.0000,3556.0000,559.0000,223.0000,3064.0000,13489.0000,559.0000,2890.0000,1.3300,7473.0000,7473.0000,6300.0000,,A,74.0300
