gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
001004,20210531,2020,INDL,C,D,STD,AIR,USD,A,2010
001045,20211231,2021,INDL,C,D,STD,AAL,USD,A,2030
001075,20211231,2021,INDL,C,D,STD,PNW,USD,A,5510
001078,20211231,2021,INDL,C,D,STD,ABT,USD,A,3510
001161,20211231,2021,INDL,C,D,STD,AMD,USD,A,4530
001209,20210930,2021,INDL,C,D,STD,APD,USD,A,1510
001230,20211231,2021,INDL,C,D,STD,ALK,USD,A,2030
001234,20211231,2021,INDL,C,D,STD,ATRI,USD,A,3510
001254,20211231,2021,INDL,C,D,STD,MATX,USD,A,2030
001257,20211231,2021,INDL,C,D,STD,ALX,USD,A,6010
001300,20211231,2021,INDL,C,D,STD,HON,USD,A,2010
001327,20210930,2021,INDL,C,D,STD,SWKS,USD,A,4530
001380,20211231,2021,INDL,C,D,STD,HES,USD,A,1010
001410,20211031,2021,INDL,C,D,STD,ABM,USD,A,2020
001414,20211231,2021,INDL,C,D,STD,PRI,USD,A,4030
001439,20211231,2021,INDL,C,D,STD,ECOL,USD,A,2020
001440,20211231,2021,INDL,C,D,STD,AEP,USD,A,5510
001447,20211231,2021,INDL,C,D,STD,AXP,USD,A,4020
001449,20211231,2021,INDL,C,D,STD,AFL,USD,A,4030
001487,20211231,2021,INDL,C,D,STD,AIG,USD,A,4030
001526,20211231,2021,INDL,C,D,STD,ANAT,USD,A,4030
001562,20210430,2020,INDL,C,D,STD,AMSWA,USD,A,4510
001585,20211231,2021,INDL,C,D,STD,AVD,USD,A,1510
001598,20211231,2021,INDL,C,D,STD,AME,USD,A,2010
001602,20211231,2021,INDL,C,D,STD,AMGN,USD,A,3520
001632,20211031,2021,INDL,C,D,STD,ADI,USD,A,4530
001659,20211231,2021,INDL,C,D,STD,ANDE,USD,A,3010
001661,20211231,2021,INDL,C,D,STD,NBR,USD,A,1010
001678,20211231,2021,INDL,C,D,STD,APA,USD,A,1010
001686,20210228,2020,INDL,C,D,STD,APOG,USD,A,2010
001690,20210930,2021,INDL,C,D,STD,AAPL,USD,A,4520
001704,20211031,2021,INDL,C,D,STD,AMAT,USD,A,4530
001722,20211231,2021,INDL,C,D,STD,ADM,USD,A,3020
001743,20211231,2021,INDL,C,D,STD,ARCB,USD,A,2030
001773,20211231,2021,INDL,C,D,STD,ARW,USD,A,4520
001794,20210930,2021,INDL,C,D,STD,ASH,USD,A,1510
001823,20211231,2021,INDL,C,D,STD,ATRO,USD,A,2010
001864,20210131,2020,INDL,C,D,STD,REX,USD,A,1010
001878,20210131,2020,INDL,C,D,STD,ADSK,USD,A,4510
001891,20210630,2021,INDL,C,D,STD,ADP,USD,A,4510
001913,20211231,2021,INDL,C,D,STD,AVY,USD,A,1510
001919,20210630,2021,INDL,C,D,STD,AVT,USD,A,4520
001926,20210228,2020,INDL,C,D,STD,AZZ,USD,A,2010
001968,20211231,2021,INDL,C,D,STD,BMI,USD,A,4520
001979,20211231,2021,INDL,C,D,STD,BCPC,USD,A,1510
001988,20211231,2021,INDL,C,D,STD,BLL,USD,A,1510
002002,20211231,2021,INDL,C,D,STD,BPOP,USD,A,4010
002005,20211231,2021,INDL,C,D,STD,BOH,USD,A,4010
002019,20211231,2021,INDL,C,D,STD,BK,USD,A,4020
002049,20211231,2021,INDL,C,D,STD,B,USD,A,2010
002086,20211231,2021,INDL,C,D,STD,BAX,USD,A,3510
002101,20210630,2021,INDL,C,D,STD,AIT,USD,A,2010
002111,20210930,2021,INDL,C,D,STD,BDX,USD,A,3510
002136,20211231,2021,INDL,C,D,STD,VZ,USD,A,5010
002184,20210131,2020,INDL,C,D,STD,BBY,USD,A,2550
002259,20211231,2021,INDL,C,D,STD,BKH,USD,A,5510
002269,20210430,2020,INDL,C,D,STD,HRB,USD,A,2530
002285,20211231,2021,INDL,C,D,STD,BA,USD,A,2010
002312,20211231,2021,INDL,C,D,STD,RHI,USD,A,2020
002352,20210731,2021,INDL,C,D,STD,BRC,USD,A,2020
002403,20211231,2021,INDL,C,D,STD,BMY,USD,A,3520
002436,20210131,2020,INDL,C,D,STD,CAL,USD,A,2550
002444,20211231,2021,INDL,C,D,STD,BC,USD,A,2520
002448,20211231,2021,INDL,C,D,STD,MTRN,USD,A,1510
002497,20211231,2021,INDL,C,D,STD,MTZ,USD,A,2010
002504,20211231,2021,INDL,C,D,STD,UIS,USD,A,4510
002547,20211231,2021,INDL,C,D,STD,CI,USD,A,3510
002558,20211231,2021,INDL,C,D,STD,CNA,USD,A,4030
002574,20211231,2021,INDL,C,D,STD,CSX,USD,A,2030
