Ticker,Name ,RetYTD
A,Agilent Technologies ,-0.208
AA,Alcoa Corp ,0.4731
AAL,American Airlines Gp ,0.0579
AAN,Aarons Holdings Company ,-0.1327
AAON,Aaon Inc ,-0.3456
AAP,Advance Auto Parts Inc ,-0.0884
AAPL,Apple Inc ,-0.0692
AAT,American Assets Trust ,-0.0384
AAWW,Atlas Air Ww ,-0.2727
ABBV,Abbvie Inc ,0.1987
ABC,Amerisourcebergen Corp ,0.2131
ABCB,Ameris Bancorp ,-0.1793
ABG,Asbury Automotive Group Inc ,-0.1104
ABM,ABM Industries Inc ,0.2069
ABMD,Abiomed Inc ,-0.1478
ABR,Arbor Realty Trust ,-0.0431
ABT,Abbott Laboratories ,-0.1638
ABTX,Allegiance Banc CS ,-0.0308
ABUS,Arbutus Biopharma Cp ,-0.2931
ACAD,Acadia Pharmaceutica ,0.0056
ACC,American Campus Communities Inc ,0.0115
ACCO,Acco Brands Corp ,-0.0702
ACGL,Arch Capital Grp Ltd ,0.1019
ACHC,Acadia Healthcr Company ,0.2359
ACIW,Aci Worldwide Inc ,-0.2078
ACLS,Axcelis Tech Inc ,-0.2432
ACM,Aecom Technology Corp ,-0.0138
ACN,Accenture Plc ,-0.2294
ACRE,Ares Commercial Real Estate Cor ,0.121
ACRS,Aclaris Therapts ,0.1699
ADBE,Adobe Systems Inc ,-0.2586
ADC,Agree Realty Corp ,-0.0196
ADI,Analog Devices ,-0.1096
ADM,Archer Daniels Midland ,0.4338
ADNT,Adient Plc ,-0.3024
ADP,Automatic Data Procs ,-0.0705
ADSK,Autodesk Inc ,-0.3004
ADTN,Adtran Inc ,-0.2199
ADUS,Addus Homecare Corp ,-0.0433
AEE,Ameren Corp ,0.0813
AEIS,Advanced Energy ,-0.1876
AEL,American Equity Investment Life ,0.0057
AEO,American Eagle Outfitters ,-0.3088
AEP,American Electric Power Company ,0.1469
AERI,Aerie Pharmaceuticals ,0.3048
AES,The Aes Corp ,0.0045
AFG,American Financial Group ,0.0681
AFL,Aflac Inc ,0.1189
AGCO,Agco Corp ,0.2197
AGEN,Agenus Inc ,-0.2733
AGIO,Agios Pharmaceuticals ,-0.1512
AGLE,Aeglea Biothera ,-0.5832
AGNC,Agnc Investment Corp ,-0.1702
AGO,Assured Guaranty Ltd ,0.2032
AGR,Avangrid Inc ,-0.019
AGX,Argan Inc ,-0.0439
AGYS,Agilysys Inc ,-0.1442
AHH,Armada Hoffler Properties Inc ,-0.065
AHT,Ashford Hospitality Trust Inc ,-0.1292
AIG,American International Group ,0.1085
AIMC,Altra Indtl Mtn ,-0.3091
AIN,Albany International Corp ,-0.0757
AIR,AAR Corp ,0.2944
AIT,Applied Industrial Technologies ,-0.0465
AIV,Apartment Investment and Management ,-0.1036
AIZ,Assurant Inc ,0.2146
AJG,Arthur J. Gallagher & Company ,0.0645
AJRD,Aerojet Rocketdyne Holdings ,-0.0768
AKAM,Akamai Technologies ,0.0167
AKBA,Akebia Therapeutics ,-0.7611
AKR,Acadia Realty Trust ,-0.0293
AL,Air Lease Corp Cl A ,-0.0206
ALB,Albemarle Corp ,-0.0979
ALBO,Albireo Pharma Inc ,0.5693
ALDX,Aldeyra Therapeu ,0.14
ALE,Allete Inc ,-0.0439
ALEX,Alexander and Baldwin Inc ,-0.1032
ALG,Alamo Group ,-0.0704
ALGN,Align Technology ,-0.3764
ALGT,Allegiant Travel Com ,-0.1513
ALK,Alaska Air Group ,0.0962
ALKS,Alkermes Plc ,0.2623
ALL,Allstate Corp ,0.1998
ALLE,Allegion Plc ,-0.1888
ALLY,Ally Financial ,-0.1342
ALNY,Alnylam Pharmaceuticals ,-0.0132
ALRM,Alarm.com ,-0.3027
ALSN,Allison Transmission Holdings ,-0.0327
ALX,Alexander's Inc ,0.0065
AMAT,Applied Materials ,-0.2796
AMBA,Ambarella Inc ,-0.5551
AMBC,Ambac Financial Group ,-0.448
