,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
397901,397902,B004N5G3OA,A3VS0C86C503QN,jlb1015,0,0,5,1311638400,Great for on-the-go!,I love these pouches for on-the-go snacks!  I keep one in the diaper bag so I have something that's easy for my toddler to eat when we're away from home.  He eats it right from the pouch so there aren't any dirty utensils to cart home.  The fact that these are made with yogurt is a bonus.
359184,359185,B007M832Y4,A20BC3R2NBN646,CMB,1,2,5,1344902400,Great way to find your flavor,"Popchips are a great healthy alternative for chip-eaters. This variety pack offered far more flavors then I have ever been able to find in any store so I decided to give it a shot for that reason, and also because it provides portion controlled packages.  While I did not enjoy all of the flavors I did discover the Sweet Potato flavor that I loved and wouldn't have known about otherwise. Flavor is relative to each person so I still give this variety pack 5 stars."
8070,8071,B0012KB4M0,A2AMSFMUWXREZZ,chargergrl06,0,0,2,1348963200,Not very busy...,"My dog demolished her busy bone in under 5 minutes. I think she basically ate it, which was a huge disappointment. We were hoping for something that we could give her that she would ENJOY, but also something that would last a bit longer. In addition to being more of a treat than a chew, these things are messy. She had it all over the floor around her,and all over her paws. It makes a sticky...goop that isn't very easy to clean up. I definitely won't buy these again, it's too expensive to only last 5 minutes."
29975,29976,B00015YTUQ,AZEUM6KWJLXLK,A. Grow,2,2,4,1274054400,great idea for something different,"I tried to pop them l;ike pop corn, but I think I had the heat on too high and scorched them instead,  Will try again with a slow and steady heat."
142636,142637,B000084E66,A35R32TA60XD57,M. Torma,0,0,5,1331251200,Does what it is suppose to do...cover cans.,"I have used these for almost 2 years on all the sizes of food cans that my cats and dog eat and haven't had any problems at all.  They are a stiffer plastic than the single size lids, but they still work well.  I have found that you do have to push down more on the smallest size cans to get the seal though. Anyway, I have a couple sets because it is so easy to have a lid that works on them all."
443930,443931,B0034EDM2W,AR5NY4YTSW285,Multiple OS Runner,3,4,2,1280534400,completed melted by the time I received them,"Like others have commented, Amazon has done a really poor job with the packaging on these.  The 12-pack ships from Missouri, and I'm not sure what kind of storage facilities Amazon or UPS has, but the bars are completed melted by the time you receive them, which is very disappointing.  When Amazon used to carry the sesame-peanut-chocolate in the 8-pack, the biggest complaint was that those bars were too tough to chew.  Now they're just mushy.  Bring back the tough bars!"
466022,466023,B000NF69K2,A2KZO4VMOI8NNB,StatePharm,1,1,5,1325376000,Crazy good!,"Man, this stuff is great.  The strawberry doesn't taste like the cheap candy flavoring you're probably used to.  It's a bit difficult to individually wrap these into fun-size pieces but made an epic gift that the girlfriend still brags about since Valentine's Day"
354361,354362,B0047YX1QU,A1GDJR3HO93IU,"Stacey Patrick ""Stacey Patrick""",0,0,5,1345161600,Love them,"I love these brownies. I did not order through Amazon. I bought them at Walmart, and was a bit skeptical about branching out to buy another brand of gluten free brownie mix. I don't eat gluten free out of want, but out of need. I have a severe gluten intolerance, and cannot have any amount of wheat. I haven't had wheat products in about 6 months, which will say much in relation to how one experiences gluten free food...<br /><br />I really enjoyed the brownies. I thought they were delicious. I really liked how fluffy they turned out, and soft they were. I did not find them ""grainy"" as other brands have been. I thought the brownies were chewy, fluffy like as if it was a cake. To me, it taste very good. I will definitely be buying more of the product as it tastes great and is affordable."
26817,26818,B001T4ZOK2,A1K0TEFCRCKU9B,"Chelas Cakes & Fruit Arrangements ""Chela""",0,0,5,1322179200,"Blue Pearl Sheen, AmeriColor","Everything AmeriColor that I have purchased works great! I was looking for some lighter tone colors, everything I had was pretty bright. These sheen colors are light with a pretty sheen, it's great! Thank you!"
258443,258444,B005GXHKSG,A2MMXIKB9SHT58,creedence,2,3,5,1301702400,perfect,"I am from Italy and I came to the US a couple of weeks ago (I will stay here for  a year). I am really sorry but I have to say that for my taste american coffee is a kind of ""watered down"" soft drink. Thus, I brought my espresso machine with me and I am so happy that Amazon is selling this italian coffee. I really love it and I will definitely order this product again: it is italian coffee, good price and extremely fast shipping. What more could you ask for?"
247223,247224,B002YR97BU,A2ETVM09XDOUEA,"Home schooler ""Natural Maven""",6,6,5,1306886400,wonderful!!,I love the BIG flakes of this coconut. It is perfect in homemade granola or for a snack for children.
136938,136939,B002AQP5FW,A9SD8NLH9YOFJ,Terri W,0,1,4,1272326400,NOT BAD.... NEW TO GLUTEN FREE RECIPES!!!!  STILL LEARNING....,"I gave this product a 4 star rating for several reasons.  I have never tried any other mixes nor have I made my own yet.  My daughter has a problem with wheat and I am attempting new things first for myself to see what I could feed her without her becoming discourage about certain types of food.  My daughter is only 19 months.<br /><br />First you should know I made this in a counter top oven/ toaster oven (black and decker x-large oven) in a 9x9 square analon (dark pan) so I used the 325 degree setting.  I kept a very close eye on this cake, because I didn't want to dry it out knowing it was going to be a totally different texture cake then I am normally used to with wheat.  It turned out good when I only left it in for around 21-25 minutes and then took it out and tested it with a toothpick in the middle (it came clean). Remember my heating elements are close to the food in this oven and it is a small cooking area.  I did exactly as the recipe called with the butter, vanilla, water and 3 eggs(egglands best x-tra large).<br /><br />The texture and aroma reminded me a little of corn muffin.  It isn't a complete texture like that but if I would have kept it in any longer it would have dried out and possibly tasted moreso like corn muffin.  I didn't mind it... I was really expecting something really different and possibly something I would totally snub.  But Hope is there.  It really wasn't bad.  I like vanilla cake over chocolate, so I would definatlely do it again.  It may be really good with a fruit, like cherry pie filling and COOL WHIP (NOT SURE IF EITHER IS GF).  I used the betty crocker ""fluffy white"" frosting which is also gluten free.<br /><br />GIVE THIS A CHANCE.  YOU MIGHT REALLY LIKE IT.  IF IT DIDN'T WORK OUT THE FIRST TIME AND YOU WANT TO PUT FORTH THE EFFORT AND TRY IT AGAIN KEEP AN EYE ON THIS ONE WHILE IN THE OVEN AND PULL IT OUT SOONER CAUSE YOU DON'T WANT TO DRY IT OUT.  I ALSO REMOVED IT FROM THE PAN WITHIN 5 MINUTES OUT OF THE OVEN, SO IT WOULDN'T CONTINUE TO COOK IN THE PAN.  I HOPE THIS HELPS.  BEST WISHES AND GOOD LUCK.<br /><br />IF ANYONE TRIES OR HAS TRIED THIS USING OIL INSTEAD OF BUTTER, LET ME KNOW HOW IT CAME OUT.  I'M SURE THERE IS A GOOD REASON WHY BETTY CROCKER WANTS US TO USE THE BUTTER.  I WOULD ALSO BE INTERESTED IN KNOWING IF THEY ARE PRODUCING THIS PRODUCT IN A GLUTEN FREE FACILITY.  MAYBE THEIR WEBSITE WILL TELL US SOMETHING ABOUT IT.  I'LL HAVE TO CHECK IT OUT SOON."
519465,519466,B006N3I1HM,A2AJ564JZQJQDR,R. Whelan,0,0,5,1322179200,Consistent Service,We always order our coffee KCUPS from Gloria Jeans and experience quick deliveries.  Quality of the product is never an issue and is what we expect
343070,343071,B001VH91OW,A12Y8PZRBM8PT8,J. Ortega,0,0,4,1345075200,Great beans!,"We have a Breville Barista espresso machine which we use daily. I've had to cut back on caffeine so we switched to decaf beans. I was hesitant, but these beans are working out great for us. Wonderful, rich flavor and every bit as good as their fully leaded cousins. Great option for coffee junkies who need to back off the buzz!"
312071,312072,B000EVG8HY,ACVEM04I0TSOR,J. Gannon,1,1,5,1173312000,Best gluten-free pretzels,"These pretzels are so good - so much like the ""real thing"" for those of us who cannot eat gluten -(wheat,barley,rye and oats).  We recommend them highly!"
501963,501964,B005GX00BK,A2K34YNHV47XIG,Likethisproduct,1,1,5,1315699200,Much Better Than Expected,"I bought this coffee after reading all the reviews. My initial impression was that this coffee was good (not excellent). Quickly, however, I realized that this coffee does not make me jittery (I'm very sensitive to caffeine). Also, this coffee does not have the bitter after taste. I think I'll definitely purchase this coffee again!"
512592,512593,B0052HXC1A,A1EHQIWTV8TFVJ,N. Travis,0,0,5,1327449600,Gr8,"I am allergic to gluten and love tomato soup. I normally buy the Roasted Red Pepper but when I wnet to order it was out of stock so took a chance and tried this. I tipped the bowl to get the last drop it was that good,  You won't be dissappointed and if you crush fresh basil and top with sour cream and cheese it is a gormet meal."
199103,199104,B000E4C2MQ,A2E9G4S5MBUI6V,D. Traylor,0,0,5,1329004800,These are the perfect granola bar!,"These granola bars are awesome.  They're slightly bigger than the standard Quaker granola bar, so the perfect adult snack size.  They are filled with all kinds of healthy, organic deliciousness and the pumpkin spice is tasty.  Not overwhelming, but enough to give it that something special."
263167,263168,B003ZNXCLI,AF6JS5ITQ300A,J. Silva,3,4,3,1311984000,Made in China,"Great product but made in China. Once I realized this after purchase, I got a little worried. Kind of over priced in the regular retail market. My dogs like it & have been ok but I wish I knew ahead of time where it was made."
216551,216552,B003KV4LRO,A1APPIEKNCRI7H,Robert S. Grimes,7,7,4,1284076800,"Great ""Reasonably"" Spicy Jerky!","I am a long-time fan of beef jerky, since I was a kid reading about its origins.  Too often, commercially available jerky is just so much crap; poor quality, no taste, lousy texture, etc.  Usually, the only good stuff you can find is with small ""boutique"" (boy, that seems out of place!) vendors, the kind you mind find at good ""county fairs"".  The only really good jerky I've ever purchased was from Bread & Circus in the early '90s...<br /><br />This jerky is pretty close.  Very good texture (if you like it moist), and little gristle.  Very nice flavor, and some spice - mind you, I really like it hot, so for those who like things milder or moderate, this is probably near or beyond your limits.  The only jerky I know that is hotter is my homemade version using Mad Dog Inferno!<br /><br />Great Product!"
248625,248626,B0043H4SV8,A29YQ3Y5UHRH3M,"Jonathan M. Berman ""Kitty Safe Network""",0,0,5,1318896000,No complaints,"These mints are awesome, eating them with a Crunch bar made me realize they should really make mint Crunch bars."
143712,143713,B0019RLJV2,A30LNEUH4ZM4NG,"T. Owens ""SILLYGND""",0,0,5,1292457600,Kraft Dinner,Well what can you say about this wonderful food...I love it...While not the best for you ...it is great tasteing...Yummmy
535879,535880,B003VXHGDM,A2DYTGGZK3JVAJ,Marlania Jones,0,0,5,1320796800,great coffee!!,"I had tried this coffee before, it is wonderful.  Smooth and rich, full flavored, but not too bold. I would recommend it to anyone."
458696,458697,B000FFIL92,AJ1KEOLZPAZXB,C. Needham,4,4,3,1199836800,Good tea; poor tea pot,"I gave this as a gift to my mother; when she poured hot water into the little glass pot that comes with the set it cracked from the temperature shock. The water wasn't even boiling. We used a clear Pyrex measuring cup; not as aesthetic, but it can take the heat.<br /><br />The tea tastes very good, so it still has that going for it. The flavors are not the usual ones you see in the grocery store, but they have some very interesting and subtle things going on in them.<br /><br />It might be best to buy just the tea on it's own, and find some other clear pot."
69611,69612,B003CK7O36,A1PEO50732652O,A. McKellar,0,0,5,1174262400,Excellent!,I have always enjoyed Earl Grey tea because of the flavor of Bergamot.  I was pleased to find that there is this version of Earl Grey with Double Bergamot which only enhances the flavor!  I love this tea and believe anyone who enjoys Earl Grey will love this as well.
443737,443738,B0034EDM2W,A2OG6ZASLZ88VW,meg sanders,0,0,4,1316995200,great gluten free snack,"It's  a great gluten free snack to have with you when you don't know what's available for you in the ""gluten free""  zone.  Some restaurants have gluten free food, some don't. At least you won't go hungry.  It's a delicious power bar snack.  Easy to have with you and much more affordable to buy online than in the store."
294342,294343,B002L96XZE,AR0IJ3K6DQG1B,"Kathleen Baker ""Kat B.""",4,4,5,1286582400,Not a sour lemon,This is the best lemon cookie that I have ever tasted.  I bought a box at a Ross store and then never saw the product again.  I went on to Amazon and bought a case three weeks ago.  Between my friends and I they are gone.<br />I am going to buy another case.
265496,265497,B000BP8JI4,AEIA51OWTPG66,Don Angell,0,0,5,1327449600,Terrific spice,This is one of a couple spices I've ordered from CuisineMentor and they all have been great.  The flavor of grilled chicken is terrific.
351821,351822,B002U4MP4I,A287O13WX9K0IP,Alex The Russian,0,0,3,1349827200,Ok but messy.,The bones are just ok. My Boston puppy liked them but they are really messy and crumble easy. Also dog lost interest in them after the second bone.
190936,190937,B000EZSFXA,A2MCTONX4K4T3E,"K. Taylor ""K Taylor""",0,0,5,1331596800,Best Jerky Ever,"This is hands-down our family's favorite jerky.  It is very flavorful and peppery but not hot (original flavor).  If you like gooey jerky, you probably won't like this.  If you like jerky that doesn't leave your fingers greasy but is a touch on the dry side - try it.<br /><br />I also have to say that I love these small, convenient 1oz single size servings - they are easy to slip into a bag and make a great afternoon snack."
